Time_s,Mass_kg,Pos_X_East_m,Pos_Y_North_m,Pos_Z_Up_m,Vel_X_mps,Vel_Y_mps,Vel_Z_mps,Quat_w,Quat_x,Quat_y,Quat_z,Omega_X_radps,Omega_Y_radps,Omega_Z_radps,Control_Ux_N,Control_Uy_N,Control_Uz_N,Thrust_Magnitude_N
5.55646280493195,28508.9798104504,91.153647853867,-232.831893736656,232.776549857428,-18.8069258076203,35.9824127576159,-27.730404560591,0.977271974213478,-0.191488563957672,0.0866852500081828,0.0275197138712592,0.356987288467072,-0.00030940519827163,-8.86418201548876e-11,712.777503148822,-39297.9915144464,320116.774160161,322520.680402895
6.11210908542515,28443.2751425621,81.0084818052834,-212.479104923087,217.55256288542,-17.6988605405622,37.1005068370212,-27.0035155660317,0.990395983603658,-0.104269496778019,0.0886156599204894,0.0197731305759178,0.280857280497886,-0.000504130010013368,-9.60272239465066e-11,-512.521828241873,-38994.3739909705,329434.209224407,331734.414990188
6.66775536591834,28377.821009961,71.4907392007998,-191.785782096723,202.783235641378,-16.5595820568757,37.2347073841794,-26.1902774627975,0.995180263254683,-0.0372351630498996,0.0896687494902472,0.0137601165350078,0.205022166376503,-0.000349247172980002,-1.01995565042912e-10,353.23977882973,-38994.7216535055,317640.778280819,320025.588230098
7.22340164641154,28313.5446203204,62.6036090750669,-171.234198841195,188.423948726515,-15.4321770183352,36.6443305216802,-25.5007070260314,0.995842899897005,0.00905895489682037,0.0901281407995396,0.00958157407087136,0.129920355046047,0.000138322422685847,-1.06776078667573e-10,-854.658050223703,-38240.2428453026,317712.528360868,320006.714446285
7.77904792690473,28249.0994519554,54.3658987258264,-151.129163163285,174.437029717582,-14.1717566512908,35.69645009096,-24.8488557769263,0.995346177067229,0.0355201151062486,0.0892924027845627,0.00715582782473748,0.0642462317403689,-0.012588368836822,-1.10519088001584e-10,13942.8316928456,-29299.254433818,320222.147772499,321861.88464934
8.33469420739793,28184.8908818092,46.8502004010722,-131.468775662328,160.817570687991,-12.9352125641291,35.2596995410624,-24.1524470040363,0.995176398916203,0.0515631912789146,0.0832768395521016,0.00549261897698049,0.0736410708577825,-0.0276375204123099,-1.13323541028269e-10,1533.76823238184,38960.9397225902,317617.030356989,320001.383187402
8.89034048789112,28120.6212093615,39.9366428819783,-111.873026891332,147.615101587407,-11.9909488555777,35.205519553934,-23.3606679899073,0.993689256953762,0.0823537342777636,0.0761114206219734,0.00257006065343603,0.148800328715106,-0.0223641973109782,-1.1525299306234e-10,-6956.87208626785,38333.1029841982,317620.287527495,320000.737347073
9.44598676838432,28056.3481049277,33.4922886374379,-92.4444720493959,134.859234003086,-11.2209719811956,34.6153611777823,-22.5591166424422,0.988416668949466,0.1335598207872,0.0720525498579791,-0.00164951714223084,0.222864852611786,-0.0064492805303778,-1.16335473860588e-10,-9410.08379281219,37835.1115022902,317617.123890911,320001.066760898
10.0016330488775,27992.3727612277,27.4584760876172,-73.6799874817509,122.480746514331,-10.4988000269427,32.556361700949,-22.1223095133725,0.977565686778621,0.197745973661672,0.0722705433282879,-0.00623303108195669,0.222261242783298,0.00905389302771605,-1.16576418514953e-10,-6533.43392213517,-38455.8659536639,317690.832726678,320076.560503313
10.5572793293707,27928.0810641779,21.8377068158684,-56.5233896349156,110.15816362339,-9.70638396269084,29.103453557011,-22.293705993308,0.965872050181215,0.247647230104413,0.0753486742387642,-0.00919944879301873,0.146949896485645,0.0141989555002213,-1.15965165211663e-10,1242.233745222,-38994.585035595,317752.562055136,320138.737892463
